project,period,fixed_cost_per_mw_yr,hyb_gen_fixed_cost_per_mw_yr,hyb_stor_fixed_cost_per_mw_yr,fixed_cost_per_mwh_year,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr
54537__CT1A,2026,0,,,,,,
54537__CT1B,2026,0,,,,,,
54537__ST1,2026,0,,,,,,
54562__6,2026,0,,,,,,
54562__7,2026,0,,,,,,
54567__1,2026,0,,,,,,
54567__2,2026,0,,,,,,
54567__3,2026,0,,,,,,
54567__4,2026,0,,,,,,
54567__5,2026,0,,,,,,
54594__G_1,2026,0,,,,,,
54594__G_4,2026,0,,,,,,
54626__TG01,2026,0,,,,,,
54628__2607,2026,0,,,,,,
54628__2608,2026,0,,,,,,
54628__3001,2026,0,,,,,,
54628__3002,2026,0,,,,,,
54628__3003,2026,0,,,,,,
54630__D_1,2026,0,,,,,,
54630__D_2,2026,0,,,,,,
54630__T_1,2026,0,,,,,,
54630__T_2,2026,0,,,,,,
54665__T201,2026,0,,,,,,
54665__T202,2026,0,,,,,,
54666__T301,2026,0,,,,,,
54666__T302,2026,0,,,,,,
54667__7,2026,0,,,,,,
54667__9,2026,0,,,,,,
54689__3,2026,0,,,,,,
54689__4,2026,0,,,,,,
54689__OEC1,2026,0,,,,,,
54689__OEC11,2026,0,,,,,,
54689__OEC2,2026,0,,,,,,
54690__2250,2026,0,,,,,,
54690__6500,2026,0,,,,,,
54694__GEN1,2026,0,,,,,,
54694__GEN2,2026,0,,,,,,
54724__OEC21,2026,0,,,,,,
54724__OEC22,2026,0,,,,,,
54734__1,2026,0,,,,,,
54734__11,2026,0,,,,,,
54734__12,2026,0,,,,,,
54734__13,2026,0,,,,,,
54734__14,2026,0,,,,,,
54734__15,2026,0,,,,,,
54734__3,2026,0,,,,,,
54734__4,2026,0,,,,,,
54734__7,2026,0,,,,,,
54734__8,2026,0,,,,,,
54749__CTG,2026,0,,,,,,
54749__STG,2026,0,,,,,,
54761__GEN1,2026,0,,,,,,
54761__GEN2,2026,0,,,,,,
54761__GEN3,2026,0,,,,,,
54761__GEN4,2026,0,,,,,,
54768__GEN1,2026,0,,,,,,
54800__9911,2026,0,,,,,,
54800__9929,2026,0,,,,,,
54809__DG3,2026,0,,,,,,
54809__DG4,2026,0,,,,,,
54809__DG5,2026,0,,,,,,
54809__DG6,2026,0,,,,,,
54809__DG7,2026,0,,,,,,
54809__DRUPS,2026,0,,,,,,
54809__TG3,2026,0,,,,,,
54854__5657,2026,0,,,,,,
54854__5658,2026,0,,,,,,
54854__5659,2026,0,,,,,,
54912__GTG1,2026,0,,,,,,
54912__GTG2,2026,0,,,,,,
54912__STG1,2026,0,,,,,,
54936__3,2026,0,,,,,,
54950__CTG1,2026,0,,,,,,
54950__DG1,2026,0,,,,,,
54950__DG2,2026,0,,,,,,
54950__DG3,2026,0,,,,,,
54950__STG1,2026,0,,,,,,
54951__EG1,2026,0,,,,,,
54951__EG2,2026,0,,,,,,
54951__EG3,2026,0,,,,,,
54975__1,2026,0,,,,,,
54996__4100,2026,0,,,,,,
55039__GT1,2026,0,,,,,,
55077__ED01,2026,0,,,,,,
55077__ED02,2026,0,,,,,,
55077__ED03,2026,0,,,,,,
55084__GE1,2026,0,,,,,,
55090__GEN1,2026,0,,,,,,
55094__UNT1,2026,0,,,,,,
55094__UNT2,2026,0,,,,,,
55094__UNT3,2026,0,,,,,,
55094__UNT4,2026,0,,,,,,
550__1,2026,0,,,,,,
550__2,2026,0,,,,,,
55112__CT01,2026,0,,,,,,
55112__CT02,2026,0,,,,,,
55112__ST01,2026,0,,,,,,
55127__UN1,2026,0,,,,,,
55127__UN2,2026,0,,,,,,
55129__CTG1,2026,0,,,,,,
55129__CTG2,2026,0,,,,,,
55129__CTG4,2026,0,,,,,,
55129__CTG5,2026,0,,,,,,
55129__STG,2026,0,,,,,,
55151__GEN1,2026,0,,,,,,
55151__GEN2,2026,0,,,,,,
55151__GEN3,2026,0,,,,,,
55151__GEN4,2026,0,,,,,,
55160__UNT1,2026,0,,,,,,
55160__UNT2,2026,0,,,,,,
55161__UNT1,2026,0,,,,,,
55177__A,2026,0,,,,,,
55177__B,2026,0,,,,,,
55177__ST1,2026,0,,,,,,
55179__CTG1,2026,0,,,,,,
55179__STG1,2026,0,,,,,,
55182__STG,2026,0,,,,,,
55182__X718,2026,0,,,,,,
55182__X719,2026,0,,,,,,
55184__UN_A,2026,0,,,,,,
55184__UN_B,2026,0,,,,,,
55200__UN5,2026,0,,,,,,
55200__UN6,2026,0,,,,,,
55200__UN7,2026,0,,,,,,
55207__UN7,2026,0,,,,,,
55207__UN8,2026,0,,,,,,
55210__1,2026,0,,,,,,
55210__2,2026,0,,,,,,
55210__3,2026,0,,,,,,
55217__CTG1,2026,0,,,,,,
55217__CTG2,2026,0,,,,,,
55217__STG3,2026,0,,,,,,
55278__1,2026,0,,,,,,
55278__2,2026,0,,,,,,
55278__STG_1,2026,0,,,,,,
55278__STG_2,2026,0,,,,,,
55283__1,2026,0,,,,,,
55283__2,2026,0,,,,,,
55283__3,2026,0,,,,,,
55295__CT1,2026,0,,,,,,
55295__CT2,2026,0,,,,,,
55295__ST1,2026,0,,,,,,
55306__CTG7,2026,0,,,,,,
55306__CTG8,2026,0,,,,,,
55306__ST12,2026,0,,,,,,
55322__CTG1,2026,0,,,,,,
55322__CTG2,2026,0,,,,,,
55322__CTG3,2026,0,,,,,,
55322__CTG4,2026,0,,,,,,
55322__ST1,2026,0,,,,,,
55322__ST2,2026,0,,,,,,
55333__CTG1,2026,0,,,,,,
55333__CTG2,2026,0,,,,,,
55333__CTG3,2026,0,,,,,,
55333__STG1,2026,0,,,,,,
55343__CTG1,2026,0,,,,,,
55343__CTG2,2026,0,,,,,,
55343__STG1,2026,0,,,,,,
55345__1_01,2026,0,,,,,,
55345__1_02,2026,0,,,,,,
55345__1_03,2026,0,,,,,,
55393__CTG1,2026,0,,,,,,
55393__CTG2,2026,0,,,,,,
55393__STG1,2026,0,,,,,,
55400__CTG1,2026,0,,,,,,
55400__CTG2,2026,0,,,,,,
55400__STG,2026,0,,,,,,
55453__S1,2026,0,,,,,,
55453__S2,2026,0,,,,,,
55453__S3,2026,0,,,,,,
55453__S4,2026,0,,,,,,
55453__S5,2026,0,,,,,,
55453__S6,2026,0,,,,,,
55455__CT1A,2026,0,,,,,,
55455__CT1B,2026,0,,,,,,
55455__CT2A,2026,0,,,,,,
55455__CT2B,2026,0,,,,,,
55455__ST1,2026,0,,,,,,
55455__ST2,2026,0,,,,,,
55477__GT2,2026,0,,,,,,
55478__1,2026,0,,,,,,
55479__1,2026,0,,,,,,
55481__GT3,2026,0,,,,,,
55481__GT4,2026,0,,,,,,
55481__ST2,2026,0,,,,,,
55482__G1,2026,0,,,,,,
55482__G2,2026,0,,,,,,
55499__CPP1,2026,0,,,,,,
55504__L1,2026,0,,,,,,
55504__L2,2026,0,,,,,,
55505__BR1,2026,0,,,,,,
55505__BR2,2026,0,,,,,,
55507__1,2026,0,,,,,,
55507__2,2026,0,,,,,,
55507__3,2026,0,,,,,,
55507__4,2026,0,,,,,,
55508__CPP2,2026,0,,,,,,
55510__CPP4,2026,0,,,,,,
55512__CPP6,2026,0,,,,,,
55513__CPP7,2026,0,,,,,,
55514__CTG1,2026,0,,,,,,
55514__CTG2,2026,0,,,,,,
55514__STG1,2026,0,,,,,,
55518__CTG1,2026,0,,,,,,
55518__CTG2,2026,0,,,,,,
55518__CTG3,2026,0,,,,,,
55518__STG1,2026,0,,,,,,
55522__CT1,2026,0,,,,,,
55522__CT10,2026,0,,,,,,
55522__CT11,2026,0,,,,,,
55522__CT12,2026,0,,,,,,
55522__CT2,2026,0,,,,,,
55522__CT3,2026,0,,,,,,
55522__CT4,2026,0,,,,,,
55522__CT5,2026,0,,,,,,
55522__CT6,2026,0,,,,,,
55522__CT7,2026,0,,,,,,
55522__CT8,2026,0,,,,,,
55522__CT9,2026,0,,,,,,
55538__CTG1,2026,0,,,,,,
55540__GEN1,2026,0,,,,,,
55541__CTG1,2026,0,,,,,,
55541__CTG2,2026,0,,,,,,
55541__CTG3,2026,0,,,,,,
55542__CTG1,2026,0,,,,,,
55542__CTG2,2026,0,,,,,,
55557__T101,2026,0,,,,,,
55622__U1,2026,0,,,,,,
55622__U2,2026,0,,,,,,
55622__U3,2026,0,,,,,,
55622__U4,2026,0,,,,,,
55622__U5,2026,0,,,,,,
55625__CT1,2026,0,,,,,,
55626__CT1,2026,0,,,,,,
55627__CT1,2026,0,,,,,,
55642__CTG1,2026,0,,,,,,
55642__CTG2,2026,0,,,,,,
55642__CTG3,2026,0,,,,,,
55642__STG1,2026,0,,,,,,
55645__CT01,2026,0,,,,,,
55645__CT02,2026,0,,,,,,
55650__GE10,2026,0,,,,,,
55650__GE11,2026,0,,,,,,
55650__GE12,2026,0,,,,,,
55650__GE13,2026,0,,,,,,
55650__GE14,2026,0,,,,,,
55650__GE15,2026,0,,,,,,
55650__GE16,2026,0,,,,,,
55650__GE17,2026,0,,,,,,
55650__GE18,2026,0,,,,,,
55650__GE19,2026,0,,,,,,
55650__GE20,2026,0,,,,,,
55650__GEN1,2026,0,,,,,,
55650__GEN2,2026,0,,,,,,
55650__GEN3,2026,0,,,,,,
55650__GEN4,2026,0,,,,,,
55650__GEN5,2026,0,,,,,,
55650__GEN6,2026,0,,,,,,
55650__GEN7,2026,0,,,,,,
55650__GEN8,2026,0,,,,,,
55650__GEN9,2026,0,,,,,,
55656__CT01,2026,0,,,,,,
55656__CT02,2026,0,,,,,,
55656__CT04,2026,0,,,,,,
55656__ST03,2026,0,,,,,,
55656__ST05,2026,0,,,,,,
55662__CA,2026,0,,,,,,
55662__CT1,2026,0,,,,,,
55662__CT2,2026,0,,,,,,
55687__A01,2026,0,,,,,,
55687__A02,2026,0,,,,,,
55687__ST1,2026,0,,,,,,
55698__HEP1,2026,0,,,,,,
55698__HEP2,2026,0,,,,,,
55700__1STG,2026,0,,,,,,
55700__CTG1,2026,0,,,,,,
55733__1,2026,0,,,,,,
55733__FT01,2026,0,,,,,,
55733__FT03,2026,0,,,,,,
55748__CAG5,2026,0,,,,,,
55748__CTG1,2026,0,,,,,,
55748__CTG2,2026,0,,,,,,
55748__CTG3,2026,0,,,,,,
55748__CTG4,2026,0,,,,,,
55749__UNT1,2026,0,,,,,,
55752__P_11,2026,0,,,,,,
55752__P_12,2026,0,,,,,,
55752__P_13,2026,0,,,,,,
55752__P_14,2026,0,,,,,,
55753__P_21,2026,0,,,,,,
55753__P_22,2026,0,,,,,,
55753__P_23,2026,0,,,,,,
55753__P_24,2026,0,,,,,,
55766__361A,2026,0,,,,,,
55766__361B,2026,0,,,,,,
55766__361C,2026,0,,,,,,
55802__CTG1,2026,0,,,,,,
55802__CTG2,2026,0,,,,,,
55802__CTG3,2026,0,,,,,,
55802__CTG4,2026,0,,,,,,
55802__CTG5,2026,0,,,,,,
55802__CTG6,2026,0,,,,,,
55807__HPP1,2026,0,,,,,,
55807__HPP2,2026,0,,,,,,
55810__S3,2026,0,,,,,,
55810__S4,2026,0,,,,,,
55810__S5,2026,0,,,,,,
55811__CTG1,2026,0,,,,,,
55813__CTG1,2026,0,,,,,,
55818__FICT,2026,0,,,,,,
55818__FIST,2026,0,,,,,,
55835__CTG1,2026,0,,,,,,
55835__CTG2,2026,0,,,,,,
55835__STG1,2026,0,,,,,,
55841__CT1,2026,0,,,,,,
55841__CT2,2026,0,,,,,,
55841__CT3,2026,0,,,,,,
55841__CT4,2026,0,,,,,,
55841__ST1,2026,0,,,,,,
55845__1,2026,0,,,,,,
55846__1,2026,0,,,,,,
55847__CTG1,2026,0,,,,,,
55851__GT_1,2026,0,,,,,,
55852__GT_2,2026,0,,,,,,
55855__CTG1,2026,0,,,,,,
55866__1,2026,0,,,,,,
55866__2,2026,0,,,,,,
55866__3,2026,0,,,,,,
55866__4,2026,0,,,,,,
55866__5,2026,0,,,,,,
55866__6,2026,0,,,,,,
55866__7,2026,0,,,,,,
55866__8,2026,0,,,,,,
55866__9,2026,0,,,,,,
55874__8,2026,0,,,,,,
55880__P_31,2026,0,,,,,,
55880__P_32,2026,0,,,,,,
55882__GEN1,2026,0,,,,,,
55933__TCC1,2026,0,,,,,,
55933__TPP1,2026,0,,,,,,
55933__TPP2,2026,0,,,,,,
55934__C1,2026,0,,,,,,
55934__C2,2026,0,,,,,,
55934__C3,2026,0,,,,,,
55934__C4,2026,0,,,,,,
55935__D1,2026,0,,,,,,
55935__D2,2026,0,,,,,,
55935__D3,2026,0,,,,,,
55935__D4,2026,0,,,,,,
55937__GTG1,2026,0,,,,,,
55937__GTG2,2026,0,,,,,,
55937__GTG3,2026,0,,,,,,
55937__GTG4,2026,0,,,,,,
55937__STG1,2026,0,,,,,,
55937__STG2,2026,0,,,,,,
55950__U1,2026,0,,,,,,
55950__U2,2026,0,,,,,,
55951__AMP1,2026,0,,,,,,
55963__CTG1,2026,0,,,,,,
55970__1,2026,0,,,,,,
55970__2,2026,0,,,,,,
55970__3,2026,0,,,,,,
55977__CTG1,2026,0,,,,,,
55977__STG1,2026,0,,,,,,
55983__TG51,2026,0,,,,,,
55984__TG21,2026,0,,,,,,
55985__CTG1,2026,0,,,,,,
55985__CTG2,2026,0,,,,,,
55985__STG,2026,0,,,,,,
55991__OEC,2026,0,,,,,,
55991__OEC1,2026,0,,,,,,
56016__1,2026,0,,,,,,
56016__2,2026,0,,,,,,
56016__3,2026,0,,,,,,
56026__CTG1,2026,0,,,,,,
56026__CTG2,2026,0,,,,,,
56026__STG,2026,0,,,,,,
56036__GEN1,2026,0,,,,,,
56036__GEN2,2026,0,,,,,,
56036__GEN3,2026,0,,,,,,
56039__G1,2026,0,,,,,,
56039__G2,2026,0,,,,,,
56041__M1,2026,0,,,,,,
56041__M2,2026,0,,,,,,
56041__M3,2026,0,,,,,,
56046__1,2026,0,,,,,,
56046__2,2026,0,,,,,,
56051__GEN1,2026,0,,,,,,
56078__1,2026,0,,,,,,
56078__2,2026,0,,,,,,
56078__3,2026,0,,,,,,
56080__EG4,2026,0,,,,,,
56080__EG5,2026,0,,,,,,
56080__EG6,2026,0,,,,,,
56080__EG7,2026,0,,,,,,
56090__D182,2026,0,,,,,,
56090__D189,2026,0,,,,,,
56090__D190,2026,0,,,,,,
56090__D191,2026,0,,,,,,
56090__D192,2026,0,,,,,,
56102__CT1A,2026,0,,,,,,
56102__CT1B,2026,0,,,,,,
56102__ST1,2026,0,,,,,,
56134__101,2026,0,,,,,,
56134__301,2026,0,,,,,,
56134__401,2026,0,,,,,,
56134__501,2026,0,,,,,,
56134__601,2026,0,,,,,,
56135__1,2026,0,,,,,,
56135__2,2026,0,,,,,,
56143__1,2026,0,,,,,,
56143__2,2026,0,,,,,,
56143__3,2026,0,,,,,,
56143__4,2026,0,,,,,,
56144__1,2026,0,,,,,,
56144__2,2026,0,,,,,,
56144__3,2026,0,,,,,,
56144__4,2026,0,,,,,,
56163__5CTG,2026,0,,,,,,
56163__MCHP,2026,0,,,,,,
56163__RCHP,2026,0,,,,,,
56163__SM58,2026,0,,,,,,
56177__GT1,2026,0,,,,,,
56177__ST1,2026,0,,,,,,
56184__IC1,2026,0,,,,,,
56184__IC10,2026,0,,,,,,
56184__IC11,2026,0,,,,,,
56184__IC12,2026,0,,,,,,
56184__IC13,2026,0,,,,,,
56184__IC14,2026,0,,,,,,
56184__IC15,2026,0,,,,,,
56184__IC16,2026,0,,,,,,
56184__IC2,2026,0,,,,,,
56184__IC3,2026,0,,,,,,
56184__IC4,2026,0,,,,,,
56184__IC5,2026,0,,,,,,
56184__IC6,2026,0,,,,,,
56184__IC7,2026,0,,,,,,
56184__IC8,2026,0,,,,,,
56184__IC9,2026,0,,,,,,
56185__IC1,2026,0,,,,,,
56185__IC10,2026,0,,,,,,
56185__IC11,2026,0,,,,,,
56185__IC12,2026,0,,,,,,
56185__IC13,2026,0,,,,,,
56185__IC14,2026,0,,,,,,
56185__IC15,2026,0,,,,,,
56185__IC16,2026,0,,,,,,
56185__IC2,2026,0,,,,,,
56185__IC3,2026,0,,,,,,
56185__IC4,2026,0,,,,,,
56185__IC5,2026,0,,,,,,
56185__IC6,2026,0,,,,,,
56185__IC7,2026,0,,,,,,
56185__IC8,2026,0,,,,,,
56185__IC9,2026,0,,,,,,
56192__1,2026,0,,,,,,
56193__1,2026,0,,,,,,
56193__2,2026,0,,,,,,
56224__1,2026,0,,,,,,
56224__2,2026,0,,,,,,
56224__3,2026,0,,,,,,
56224__4,2026,0,,,,,,
56224__5,2026,0,,,,,,
56227__1,2026,0,,,,,,
56227__2,2026,0,,,,,,
56229__CT1,2026,0,,,,,,
56232__1,2026,0,,,,,,
56232__2,2026,0,,,,,,
56237__CT01,2026,0,,,,,,
56237__CT02,2026,0,,,,,,
56237__CT21,2026,0,,,,,,
56237__CT22,2026,0,,,,,,
56237__ST01,2026,0,,,,,,
56237__ST2,2026,0,,,,,,
56239__GT_1,2026,0,,,,,,
56239__GT_2,2026,0,,,,,,
56253__MC1,2026,0,,,,,,
56253__MC2,2026,0,,,,,,
56298__1,2026,0,,,,,,
56298__2,2026,0,,,,,,
56298__3,2026,0,,,,,,
56298__4,2026,0,,,,,,
56298__5,2026,0,,,,,,
56305__1,2026,0,,,,,,
56305__2,2026,0,,,,,,
56305__3,2026,0,,,,,,
56306__1,2026,0,,,,,,
56312__021A,2026,0,,,,,,
56312__021B,2026,0,,,,,,
56312__021C,2026,0,,,,,,
56317__1,2026,0,,,,,,
56317__2,2026,0,,,,,,
56319__1,2026,0,,,,,,
56321__1,2026,0,,,,,,
56321__OEC2,2026,0,,,,,,
56346__ICE1,2026,0,,,,,,
56346__ICE2,2026,0,,,,,,
56346__ICE3,2026,0,,,,,,
56346__ICE4,2026,0,,,,,,
56346__ICE5,2026,0,,,,,,
56346__ICE6,2026,0,,,,,,
56346__ICE7,2026,0,,,,,,
56356__CT1,2026,0,,,,,,
56356__ST1,2026,0,,,,,,
56358__1,2026,0,,,,,,
56405__ONE,2026,0,,,,,,
56406__GEN1,2026,0,,,,,,
56428__Unit1,2026,0,,,,,,
56428__Unit2,2026,0,,,,,,
56428__Unit3,2026,0,,,,,,
56445__GEN1,2026,0,,,,,,
56445__GEN2,2026,0,,,,,,
56461__DC1,2026,0,,,,,,
56461__DC2,2026,0,,,,,,
56467__CTG1,2026,0,,,,,,
56467__CTG2,2026,0,,,,,,
56467__STG1,2026,0,,,,,,
56469__1,2026,0,,,,,,
56471__1,2026,0,,,,,,
56472__1,2026,0,,,,,,
56472__BA1,2026,0,,,0.0,,,
56473__1,2026,0,,,,,,
56474__1,2026,0,,,,,,
56475__1,2026,0,,,,,,
56475__BA1,2026,0,,,0.0,,,
56476__A,2026,0,,,,,,
56476__B,2026,0,,,,,,
56476__C,2026,0,,,,,,
56482__1,2026,0,,,,,,
56482__2,2026,0,,,,,,
56496__3701,2026,0,,,,,,
56500__A101,2026,0,,,,,,
56500__B102,2026,0,,,,,,
56500__B202,2026,0,,,,,,
56500__C102,2026,0,,,,,,
56500__C202,2026,0,,,,,,
56500__D101,2026,0,,,,,,
56500__E102,2026,0,,,,,,
56500__E202,2026,0,,,,,,
56500__F102,2026,0,,,,,,
56500__F202,2026,0,,,,,,
56500__G102,2026,0,,,,,,
56500__G202,2026,0,,,,,,
56500__H102,2026,0,,,,,,
56500__H202,2026,0,,,,,,
56509__1,2026,0,,,,,,
56509__2,2026,0,,,,,,
56516__2G01,2026,0,,,,,,
56516__2G02,2026,0,,,,,,
56516__2G03,2026,0,,,,,,
56516__2G04,2026,0,,,,,,
56516__2G05,2026,0,,,,,,
56516__2G06,2026,0,,,,,,
56516__2G07,2026,0,,,,,,
56516__2G08,2026,0,,,,,,
56516__2G09,2026,0,,,,,,
56516__2G10,2026,0,,,,,,
56516__2G11,2026,0,,,,,,
56516__2G12,2026,0,,,,,,
56516__2G13,2026,0,,,,,,
56516__2G14,2026,0,,,,,,
56530__GEN1,2026,0,,,,,,
56530__GEN2,2026,0,,,,,,
56530__GEN3,2026,0,,,,,,
56530__GEN4,2026,0,,,,,,
56532__A,2026,0,,,,,,
56532__B,2026,0,,,,,,
56532__C,2026,0,,,,,,
56540__GEN1,2026,0,,,,,,
56541__GEN1,2026,0,,,,,,
56541__GEN2,2026,0,,,,,,
56554__Unit1,2026,0,,,,,,
56554__Unit2,2026,0,,,,,,
56554__Unit3,2026,0,,,,,,
56569__1,2026,0,,,,,,
56569__2,2026,0,,,,,,
56596__5,2026,0,,,,,,
56609__1,2026,0,,,,,,
56616__G3,2026,0,,,,,,
56639__1,2026,0,,,,,,
56639__2,2026,0,,,,,,
56642__1,2026,0,,,,,,
56642__2,2026,0,,,,,,
56676__CTG1,2026,0,,,,,,
56706__AMPC,2026,0,,,,,,
56707__AMPC,2026,0,,,,,,
56781__1,2026,0,,,,,,
56803__1,2026,0,,,,,,
56803__2,2026,0,,,,,,
56803__3,2026,0,,,,,,
56803__4,2026,0,,,,,,
56812__GEN2,2026,0,,,,,,
56812__GEN_1,2026,0,,,,,,
56832__GE1,2026,0,,,,,,
56832__GE2,2026,0,,,,,,
56832__GE3,2026,0,,,,,,
56832__GE4,2026,0,,,,,,
56832__GE5,2026,0,,,,,,
56853__1,2026,0,,,,,,
56853__2,2026,0,,,,,,
56853__3,2026,0,,,,,,
56895__1,2026,0,,,,,,
56895__2,2026,0,,,,,,
56895__3,2026,0,,,,,,
56895__4,2026,0,,,,,,
56895__5,2026,0,,,,,,
56895__6,2026,0,,,,,,
56895__7,2026,0,,,,,,
56897__1,2026,0,,,,,,
56897__2,2026,0,,,,,,
56898__1,2026,0,,,,,,
56898__2,2026,0,,,,,,
56908__1,2026,0,,,,,,
56908__2,2026,0,,,,,,
56908__3,2026,0,,,,,,
56914__CTG1,2026,0,,,,,,
56914__CTG2,2026,0,,,,,,
56932__BLS1,2026,0,,,,,,
56948__1,2026,0,,,,,,
56948__10,2026,0,,,,,,
56948__11,2026,0,,,,,,
56948__12,2026,0,,,,,,
56948__2,2026,0,,,,,,
56948__3,2026,0,,,,,,
56948__4,2026,0,,,,,,
56948__5,2026,0,,,,,,
56948__6,2026,0,,,,,,
56948__7,2026,0,,,,,,
56948__8,2026,0,,,,,,
56948__9,2026,0,,,,,,
56955__1,2026,0,,,,,,
56982__BM1,2026,0,,,,,,
56982__BM2,2026,0,,,,,,
56982__BM3,2026,0,,,,,,
56998__4,2026,0,,,,,,
56998__43,2026,0,,,,,,
56998__5,2026,0,,,,,,
56998__53,2026,0,,,,,,
56998__6,2026,0,,,,,,
56998__7,2026,0,,,,,,
56998__CT08,2026,0,,,,,,
56998__GT1,2026,0,,,,,,
56998__GT2,2026,0,,,,,,
56998__GT3,2026,0,,,,,,
57001__GEN1,2026,0,,,,,,
57015__GEN1,2026,0,,,,,,
57015__GEN10,2026,0,,,,,,
57015__GEN11,2026,0,,,,,,
57015__GEN12,2026,0,,,,,,
57015__GEN2,2026,0,,,,,,
57015__GEN3,2026,0,,,,,,
57015__GEN4,2026,0,,,,,,
57015__GEN5,2026,0,,,,,,
57015__GEN6,2026,0,,,,,,
57015__GEN7,2026,0,,,,,,
57015__GEN8,2026,0,,,,,,
57015__GEN9,2026,0,,,,,,
57019__GEN1,2026,0,,,,,,
57019__GEN2,2026,0,,,,,,
57019__GEN3,2026,0,,,,,,
57019__GEN4,2026,0,,,,,,
57019__GEN5,2026,0,,,,,,
57019__GEN6,2026,0,,,,,,
57027__CPP1,2026,0,,,,,,
57027__CPP2,2026,0,,,,,,
57027__CPP3,2026,0,,,,,,
57027__CPP4,2026,0,,,,,,
57028__GTG,2026,0,,,,,,
57028__STG,2026,0,,,,,,
57073__ST1,2026,0,,,,,,
57074__ST1,2026,0,,,,,,
57075__ST1,2026,0,,,,,,
57100__EN01,2026,0,,,,,,
57101__1,2026,0,,,,,,
57102__EN01,2026,0,,,,,,
57102__EN02,2026,0,,,,,,
57122__CTG1,2026,0,,,,,,
57122__STG1,2026,0,,,,,,
57133__359,2026,0,,,,,,
57133__361,2026,0,,,,,,
57134__1,2026,0,,,,,,
57163__GEN1,2026,0,,,,,,
57163__GEN3,2026,0,,,,,,
57164__GEN1,2026,0,,,,,,
57164__GEN2,2026,0,,,,,,
57164__GEN3,2026,0,,,,,,
57166__GEN1,2026,0,,,,,,
57166__GEN2,2026,0,,,,,,
57180__1,2026,0,,,,,,
57181__1,2026,0,,,,,,
57213__101,2026,0,,,,,,
57213__201,2026,0,,,,,,
57267__1,2026,0,,,,,,
57267__2,2026,0,,,,,,
57267__3,2026,0,,,,,,
57267__4,2026,0,,,,,,
57275__TSE_1,2026,0,,,,,,
57298__1,2026,0,,,,,,
57298__10,2026,0,,,,,,
57298__11,2026,0,,,,,,
57298__12,2026,0,,,,,,
57298__13,2026,0,,,,,,
57298__14,2026,0,,,,,,
57298__15,2026,0,,,,,,
57298__16,2026,0,,,,,,
57298__17,2026,0,,,,,,
57298__18,2026,0,,,,,,
57298__2,2026,0,,,,,,
57298__3,2026,0,,,,,,
57298__4,2026,0,,,,,,
57298__5,2026,0,,,,,,
57298__6,2026,0,,,,,,
57298__7,2026,0,,,,,,
57298__8,2026,0,,,,,,
57298__9,2026,0,,,,,,
57331__MSP1,2026,0,,,,,,
57331__MSP2,2026,0,,,,,,
57343__1,2026,0,,,,,,
57343__2,2026,0,,,,,,
57345__1,2026,0,,,,,,
57345__2,2026,0,,,,,,
57348__UNITA,2026,0,,,,,,
57348__UNITB,2026,0,,,,,,
57353__2,2026,0,,,,,,
57376__OEC_1,2026,0,,,,,,
57376__OEC_2,2026,0,,,,,,
57393__GEN1,2026,0,,,,,,
57393__GEN2,2026,0,,,,,,
57394__GEN01,2026,0,,,,,,
57394__GEN02,2026,0,,,,,,
57398__1,2026,0,,,,,,
57403__GEN1,2026,0,,,,,,
57403__GEN2,2026,0,,,,,,
57446__1,2026,0,,,,,,
57446__2,2026,0,,,,,,
57446__3,2026,0,,,,,,
57446__OE23R,2026,0,,,,,,
57446__OEC21,2026,0,,,,,,
57446__OEC22,2026,0,,,,,,
57451__G9200,2026,0,,,,,,
57451__G9250,2026,0,,,,,,
57456__SE_U1,2026,0,,,,,,
57457__1,2026,0,,,,,,
57460__CL00,2026,0,,,,,,
57460__CL01,2026,0,,,,,,
57460__CL02,2026,0,,,,,,
57460__CL03,2026,0,,,,,,
57460__CL04,2026,0,,,,,,
57460__CL05,2026,0,,,,,,
57460__CL06,2026,0,,,,,,
57460__CL07,2026,0,,,,,,
57460__CL08,2026,0,,,,,,
57460__CL09,2026,0,,,,,,
57460__CL10,2026,0,,,,,,
57475__HRP1,2026,0,,,,,,
57477__G3201,2026,0,,,,,,
57478__G3202,2026,0,,,,,,
57479__G303,2026,0,,,,,,
57482__CTG1,2026,0,,,,,,
57482__CTG2,2026,0,,,,,,
57482__CTG3,2026,0,,,,,,
57482__CTG4,2026,0,,,,,,
57482__CTG5,2026,0,,,,,,
57482__CTG6,2026,0,,,,,,
57482__CTG7,2026,0,,,,,,
57482__CTG8,2026,0,,,,,,
57483__CTG1,2026,0,,,,,,
57483__CTG2,2026,0,,,,,,
57483__CTG3,2026,0,,,,,,
57483__CTG4,2026,0,,,,,,
57515__GT1,2026,0,,,,,,
57515__GT2,2026,0,,,,,,
57515__GT3,2026,0,,,,,,
57515__GT4,2026,0,,,,,,
57515__GT5,2026,0,,,,,,
57555__CTG1,2026,0,,,,,,
57555__CTG2,2026,0,,,,,,
57555__CTG3,2026,0,,,,,,
57557__S_14,2026,0,,,,,,
57557__S_15,2026,0,,,,,,
57561__CC17M,2026,0,,,0.0,,,
